Sentence #,Word,Tag,Word_idx,Tag_idx
138,"['tháng_bảy', 'của', 'anh_em', 'và', 'cô_đơn']","['E-thang', 'O', 'O', 'O', 'O']","[585, 466, 764, 93, 220]","[1, 3, 3, 3, 3]"
203,"['học', 'web', 'dùng', 'ngôn_ngữ', 'nào', 'để', 'code']","['O', 'E-ngon_ngu', 'O', 'O', 'O', 'O', 'O']","[82, 752, 413, 651, 104, 744, 153]","[3, 4, 3, 3, 3, 3, 3]"
296,"['bạn', 'học', 'được', 'gì', 'từ', 'những', 'khó_khăn', 'trong', 'công_việc', 'tester']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-job']","[601, 82, 351, 749, 602, 244, 616, 700, 433, 27]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 2]"
353,"['chỗ', 'tau', 'làm', 'có', 'con', 'nhỏ', 'làm', 'da', 'xinh', 'dã_man']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'E-job', 'O', 'O']","[318, 32, 694, 169, 460, 229, 694, 283, 566, 237]","[3, 3, 3, 3, 3, 3, 3, 2, 3, 3]"
350,"['streamer', 'được', 'xem', 'là', 'một', 'nghề', 'hái', 'ra', 'tiền', 'được', 'bạn', 'trẻ', 'khá', 'ưu', 'chuộng']","['E-job', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[127, 351, 638, 294, 750, 188, 203, 288, 424, 351, 601, 636, 87, 29, 113]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
345,"['một', 'trong', 'những', 'kỹ_năng', 'quan_trọng', 'cho', 'fresher', 'trong', 'quá_trình', 'làm_việc', 'chính', 'là', 'kỹ_năng', 'làm_việc', 'theo', 'đội', 'nhóm']","['O', 'O', 'O', 'O', 'O', 'O', 'E-job', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[750, 700, 244, 300, 430, 95, 298, 700, 766, 344, 415, 294, 300, 344, 704, 265, 110]","[3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
344,"['là', 'một', 'fresher', 'được', 'học_hỏi', 'và', 'có_thể', 'làm_việc', 'đúng', 'với', 'chuyên_ngành', 'mình', 'theo_đuổi', 'đã', 'là', 'một', 'ưu_điểm', 'lớn']","['O', 'O', 'E-job', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[294, 750, 298, 351, 323, 93, 620, 344, 56, 790, 205, 196, 341, 617, 294, 750, 595, 572]","[3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
113,"['tháng_sau', 'đi', 'đâu', 'chơi', 'đi']","['E-thang', 'O', 'O', 'O', 'O']","[458, 319, 715, 716, 319]","[1, 3, 3, 3, 3]"
354,"['mi', 'có', 'biết', 'ai', 'chuyên', 'làm', 'front_end', 'không', 'giới_thiệu', 'tau', 'mấy', 'người']","['O', 'O', 'O', 'O', 'O', 'O', 'E-job', 'O', 'O', 'O', 'O', 'O']","[767, 169, 645, 1, 625, 694, 493, 324, 301, 32, 46, 568]","[3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3]"
320,"['bên', 'đó', 'có', 'tuyển', 'kĩ_sư_ai', 'không']","['O', 'O', 'O', 'O', 'E-job', 'O']","[71, 524, 169, 163, 559, 324]","[3, 3, 3, 3, 2, 3]"
216,"['công_ty', 'có', 'cho', 'code', 'python', 'không']","['O', 'O', 'O', 'O', 'E-ngon_ngu', 'O']","[679, 169, 95, 153, 345, 324]","[3, 3, 3, 3, 4, 3]"
228,"['đéo', 'biết', 'code', 'web']","['O', 'O', 'O', 'E-ngon_ngu']","[513, 645, 153, 752]","[3, 3, 3, 4]"
45,"['nên', 'học', 'chứng_chỉ', 'ngôn_ngữ', 'nào', 'toeic', 'hsk']","['O', 'O', 'O', 'O', 'O', 'E-bang_cap', 'E-bang_cap']","[555, 82, 471, 651, 104, 190, 788]","[3, 3, 3, 3, 3, 0, 0]"
170,"['5/1911', 'bác', 'hồ', 'ra_đi', 'tìm', 'đường', 'cứu', 'nước']","['E-thang', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[383, 599, 482, 146, 306, 171, 61, 634]","[1, 3, 3, 3, 3, 3, 3, 3]"
