Sentence #,Word,Tag
0,ứng_viên,O
0,cần,O
0,có,O
0,bằng,O
0,thạc_sĩ,O
0,chuyên,O
0,nghành,O
0,khoa_học,O
0,máy_tính,O
0,và,O
0,ielts_6.0,E-bang_cap
0,+,O
1,ad,O
1,biết,O
1,nhiều,O
1,bạn,O
1,muốn,O
1,làm,O
1,phd,O
1,nhưng,O
1,có_thể,O
1,hoặc,O
1,chưa,O
1,đủ,O
1,ielts,E-bang_cap
1,hoặc,O
1,chưa,O
1,thành_thạo,O
1,deep,O
1,learning,O
2,trong,O
2,khi,O
2,các,O
2,bạn,O
2,tiếp_tục,O
2,trao,O
2,dồi,O
2,kiến_thức,O
2,và,O
2,luyện,O
2,ielts,E-bang_cap
3,tuyển,O
3,ai,E-ngon_ngu
3,cho,O
3,mảng,O
3,computer_vision,E-ngon_ngu
3,machine_learning,E-ngon_ngu
3,deep_learning,E-ngon_ngu
3,tối_thiểu,O
3,6-8,O
3,tháng,O
3,kinh_nghiệm,O
4,job,O
4,data_engineer,E-job
4,này,O
4,xinh,O
4,vì,O
4,nắm,O
4,giữ,O
4,cả,O
4,mỏ,O
4,vàng,O
4,dữ_liệu,O
4,của,O
4,viettel,O
5,viettel,O
5,cyberspace,O
5,center,O
5,đang,O
5,thực_hiện,O
5,các,O
5,dự_án,O
5,lớn,O
5,về,O
5,dpi,O
5,bigdata,E-ngon_ngu
5,ai,E-ngon_ngu
5,data_mining,E-ngon_ngu
5,.,O
6,xây_dựng,O
6,thử_nghiệm,O
6,các,O
6,model,O
6,machine_learning,E-ngon_ngu
6,deeplearning,E-ngon_ngu
6,theo,O
6,các,O
6,bài_toán,O
6,cụ_thể,O
7,thạc_sĩ,E-bang_cap
7,là,O
7,một,O
7,văn_bằng,O
7,cao_cấp,O
7,được,O
7,trao,O
7,bởi,O
7,các,O
7,trường,O
7,đại_học,O
7,trên,O
7,toàn,O
7,thế_giới,O
7,.,O
8,đa_số,O
8,master,E-bang_cap
8,yêu_cầu,O
8,đh,O
8,có,O
8,làm,O
8,luận_văn,O
8,tốt,O
9,toeic,E-bang_cap
9,được,O
9,soạn,O
9,dựa,O
9,trên,O
9,toefl,E-bang_cap
9,và,O
9,được,O
9,kiểm_chứng,O
9,công_nhận,O
9,trên,O
9,hầu_hết,O
9,các,O
9,quốc_gia,O
9,trên,O
9,thế_giới,O
10,toefl,E-bang_cap
10,là,O
10,một,O
10,trong,O
10,các,O
10,chứng_chỉ_tiếng_anh,E-bang_cap
10,quốc_tế,O
10,có,O
10,giá_trị,O
10,hiện_nay,O
11,bài,O
11,thi,O
11,ielts,E-bang_cap
11,được,O
11,thiết_kế,O
11,để,O
11,đánh_giá,O
11,khả_năng,O
11,ngôn_ngữ,O
11,của,O
11,mọi,O
11,người,O
12,chứng_chỉ_sat,E-bang_cap
12,là,O
12,một,O
12,trong,O
12,những,O
12,yêu_cầu,O
12,không_thể,O
12,thiếu,O
12,nếu,O
12,bạn,O
12,muốn,O
12,đi,O
12,du_học,O
13,toeic,E-bang_cap
13,toefl,E-bang_cap
13,và,O
13,chứng_chỉ_ielts,E-bang_cap
13,khác,O
13,nhau,O
13,chỗ,O
13,nào,O
13,vậy,O
