Sentence,Intent
"- Hồ sơ của tôi bị thiếu có bị loại không
",brief
"- Thông tin nào cần có trong CV
",brief
- Những thứ cần có trong hồ sơ xin việc,brief
"- Hồ sơ xin việc cần những gì
",brief
"- CV xin việc cần điền những nội dung gì
",brief
"- Hồ sơ xin việc cần có những gì
",brief
"- Các giấy tờ cần có trong hồ sơ xin việc
",brief
"- CV cần những gì
",brief
"- CV cần phải điền những gì
",brief
"- Tôi mất chứng minh nhân dân thì phải làm sao để ứng tuyển
",brief
"- CV cần có những thông tin nào
",brief
"- CV cần có những thông tin nào
",brief
"- Hồ sơ xin việc gồm loại giấy tờ nào
",brief
"- Đăng ký svmc cần những giấy tờ gì
",brief
"- Hồ sơ xin việc gồm loại giấy tờ nào
",brief
"- Hồ sơ xin việc cần có những gì
",brief
"- Tôi cần công chứng những gì để làm hồ sơ
",brief
"- Hồ sơ tuyển dụng gồm những gì
",brief
"- CV xin việc cần những gì
",brief
"- Trong hồ sơ xin việc cần những cái gì
",brief
"- Hồ sơ xin việc gồm loại giấy tờ nào
",brief
"- Hồ sơ xin việc svmc yêu cầu những gì
",brief
"- Ứng tuyển svmc cần photo sổ đỏ không
",brief
"- Hồ sơ xin việc ra sao
",brief
"- Ứng tuyển svmc cần chứng minh nhân dân không
",brief
"- Sơ yếu lý lịch cần viết chi tiết không
",brief
"- Hồ sơ xin việc cần có những gì?
",brief
"- Ứng tuyển svmc cần bằng cấp 3 không
",brief
"- Hồ sơ của tôi thiếu chứng minh nhân dân có được không
",brief
"- Những thứ cần có trong hồ sơ xin việc
",brief
"- Hồ sơ của tôi không có bản sao sổ hộ khẩu có sao không
",brief
"- Phải chuẩn bị giấy tờ gì để ứng tuyển svmc
",brief
"- Hồ sơ xin việc cần có những gì?
",brief
"- Cv xin việc có yêu cầu gì không
",brief
"- Sơ yếu lý lịch cần công chứng không
",brief
"- Hồ sơ xin việc cần đơn xin việc không
",brief
"- Hồ sơ xin việc cần công chứng những gì
",brief
"- Đăng ký svmc cần chuẩn bị hồ sơ như nào
",brief
"- Tôi không nộp đơn xin việc có bị loại không
",brief
"- Hồ sơ xin việc gồm những cái gì
",brief
"- CV cần những gì
",brief
"- Phải chuẩn bị giấy tờ gì để ứng tuyển vào công ty
",brief
"- CV cần những giấy tờ gì
",brief
"- Tôi mất chứng minh nhân dân thì có ứng tuyển được không
",brief
"- CV cần những giấy tờ gì
",brief
"- Trong hồ sơ xin việc cần những cái gì
",brief
"- Ứng tuyển svmc cần căn cước công dân không
",brief
"- Hồ sơ thiếu giấy tờ có bị bỏ không
",brief
"- Thông tin nào cần có trong CV
",brief
"- Cần chuẩn bị những giấy tờ gì để ứng tuyển
",brief
"- Hồ sơ xin việc gồm loại giấy tờ nào
",brief
"- Hồ sơ tuyển dụng cần những gì
",brief
"- Cảm ơn bot
",bye
"- Hẹn gặp lại
",bye
"- Mau mau lượn
",bye
"- Next
",bye
"- Uh
",bye
"- Many thanks
",bye
"- Oke
",bye
"- Thanks
",bye
"- Cảm ơn bạn nhiều
",bye
"- Dừng
",bye
"- Tạm biệt nhé
",bye
"- Ok
",bye
"- Cảm ơn
",bye
"- Bye
",bye
"- Thân ái và chào tạm biệt
",bye
"- Biến đi
",bye
"- Cảm ơn bạn nhiều
",bye
"- Thôi tôi xin ông
",bye
"- Oke oke
",bye
"- Em cảm ơn ạ
",bye
"- Cút đi
",bye
"- Đi ngủ đây
",bye
"- Ukm
",bye
"- Xéo đi
",bye
"- Cảm ơn ad
",bye
"- Cút xéo đi
",bye
"- Lượn đi
",bye
"- Oke cảm ơn
",bye
"- Oke thanks
",bye
"- Chào 
",bye
"- Off đây
",bye
"- Oke la
",bye
"- Cảm ơn admin
",bye
- Dừng mẹ mày đi,bye
"- Vĩnh biệt
",bye
"- Cảm ơn bạn nhé
",bye
"- Thank you
",bye
- các quán ăn gần công ty không,canteen
"- công ty có căng tin không
",canteen
"- căng tin của công ty chỗ nào
",canteen
"- các quán ăn cho công ty ở đâu
",canteen
"- trong công ty có chỗ ăn cho nhân viên không
",canteen
"- trong công ty có căng tin hay là ăn bên ngoài
",canteen
"- công ty có quán ăn hay căng tin gì không
",canteen
"- gần công ty có quán ăn ông
",canteen
"- trong công ty có phòng pantree không
",canteen
"- có chỗ ăn gần công ty không
",canteen
"- nhà ăn ở đâu
",canteen
"- công ty có nhà ăn buổi trưa không
",canteen
"- ăn trưa ở công ty chỗ nào
",canteen
"- có nhiều quán ăn bên cạnh công ty không
",canteen
"- trong công ty có chỗ ăn uống cho nhân viên không
",canteen
"- Công ty có canteen không
",canteen
"- Công ty có chỗ ăn nào không
",canteen
"- Canteen công ty thế nào
",canteen
"- Công ty có chỗ ăn không
",canteen
"- Canteen có không
",canteen
"- có dễ dàng mua đồ ăn trong công ty không
",canteen
"- trong công ty có quán bánh mỳ hay bún gì không
",canteen
"- Canteen công ty nằm chỗ nào
",canteen
"- công ty có nhà bếp cho nhân viên không
",canteen
"- ăn uống trong công ty ra sao, có gần không
",canteen
"- căng tin ở tầng mấy của công ty
",canteen
"- có nhiều quán ăn không
",canteen
"- ăn uông trong công ty ở chỗ nào
",canteen
"- Có canteen không
",canteen
"- bếp ăn cho nhân viên có rộng không
",canteen
"- có căng tin cho nhân viên bên trong công ty không
",canteen
"- ăn uống như thế nào
",canteen
"- có bếp ăn cho nhân viên tại công ty không
",canteen
"- Công ty có câu lạc bộ gym không
",club
"- có nhiều hoạt động và câu lạc bộ không
",club
"- Ngoài giờ làm việc thì có những hoạt động thể dục thể thao nào
",club
"- trong công ty có nhiều người chơi lol, aoe không
",club
"- Hoạt động thể dục thể thao của công ty thế nào
",club
"- Công ty có nhiều câu lạc bộ không
",club
"- công ty có các câu lạc bộ gì 
",club
"- Công ty có câu lạc bộ gì không
",club
"- Hoạt động thể dục thể thao của SVMC thế nào
",club
"- có giải đấu đá bóng không
",club
"- Công ty có nhiều các hoạt động thể dục thể thao không
",club
- có các hoạt động thể thao nào,club
"- Công ty có câu lạc bộ dạy học không
",club
"- trong công ty có những hội thao nào
",club
"- Anh chị có tạo câu lạc bộ gì không
",club
"- Hoạt động thể dục thể thao thế nào
",club
"- Trong công ty có club gì không
",club
"- Ad cho xin thông tin về các hoạt động thể dục thể thao
",club
"- Hoạt động thể dục thể thao có không
",club
"- Công ty có câu lạc bộ nào không
",club
"- Mọi người có thành lập câu lạc bộ nào không
",club
"- cuối tuần công ty có các hoạt động ngoại khóa nào
",club
"- công ty có tổ chức giải đấu thể thao nhân viên không
",club
"- trong công ty có các team thể thao điện tử không
",club
"- Ngoài giờ làm vệc có hoạt động thể dục thể thao không
",club
"- Anh chị có tạo club riêng không
",club
"- trong công ty có câu lạc bộ esport không
",club
"- hoạt động thể thao trong công ty như thế nào
",club
"- Công ty có club dành cho người tập gym không
",club
"- SVMC có những hoạt động thể dục thể thao nào
",club
"- Hoạt động thể dục thể thao thì sao
",club
"- ad có chơi lol không
",club
"- Công ty có những hoạt động thể dục thể thao nào
",club
"- trong công ty có câu lạc bộ đá bóng không
",club
"- Công ty có câu lạc bộ nhảy không
",club
"- công ty có hỗ trợ gì cho các team thể thao điện tử
",club
"- Vào công ty có tạo club được không
",club
"- Có hoạt động thể dục thể thao không
",club
"- các bộ môn thể thao nào có trong công ty
",club
"- Công ty có club nào không
",club
